,ポケモン名,HP,攻撃,防御,特攻,特防,素早,オリジナルのタイプ1,オリジナルのタイプ2,ノーマル,ほのお,みず,でんき,くさ,こおり,かくとう,どく,じめん,ひこう,エスパー,むし,いわ,ゴースト,ドラゴン,あく,はがね,フェアリー,カイリュー,マリルリ,ハッサム,キノガッサ,ガブリアス,ジバコイル,ウルガモス,ミミッキュ,アーマーガア,ドラパルト,マスカーニャ,キョジオーン,キラフロル,ヘイラッシャ,コノヨザル,ドオー,ドドゲザン,イダイナキバ,ハバタクカミ,テツノツツミ,テツノカイナ,テツノドクガ,セグレイブ,サーフゴー,チオンジェン,パオジアン,ディンルー,イーユイ,イルカマン(マイティ),ウォッシュロトム
10,カメール,59,63,80,65,80,58,みず,なし,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0
11,カメックス,79,83,100,85,105,78,みず,なし,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0
12,メガカメックス,79,103,120,135,115,78,みず,なし,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0
13,キャタピー,45,30,35,20,20,45,むし,なし,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-1.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,0.0,-2.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0
14,トランセル,50,20,55,25,25,30,むし,なし,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-1.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,0.0,-2.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0
15,バタフリー,60,45,50,90,80,70,むし,ひこう,0.0,1.0,0.0,1.0,-2.0,1.0,-2.0,0.0,-3.0,1.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-4.0,-3.0,1.0,0.0,0.0,1.0,0.0,-2.0,2.0,2.0,0.0,-2.0,-3.0,0.0,-5.0,0.0,1.0,-1.0,1.0,1.0,0.0,-2.0,1.0,-3.0,1.0,0.0,1.0
16,ビードル,40,35,30,20,20,50,むし,どく,0.0,1.0,0.0,0.0,-2.0,0.0,-2.0,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-4.0,0.0,0.0,0.0,-1.0,1.0,0.0,-2.0,1.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-1.0,0.0,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0
17,コクーン,45,25,50,25,25,35,むし,どく,0.0,1.0,0.0,0.0,-2.0,0.0,-2.0,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-4.0,0.0,0.0,0.0,-1.0,1.0,0.0,-2.0,1.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-1.0,0.0,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0
18,スピアー,65,90,40,45,80,75,むし,どく,0.0,1.0,0.0,0.0,-2.0,0.0,-2.0,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-4.0,0.0,0.0,0.0,-1.0,1.0,0.0,-2.0,1.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-1.0,0.0,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0
19,メガスピアー,65,150,40,15,80,145,むし,どく,0.0,1.0,0.0,0.0,-2.0,0.0,-2.0,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-4.0,0.0,0.0,0.0,-1.0,1.0,0.0,-2.0,1.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-1.0,0.0,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0
20,ポッポ,40,45,40,35,35,56,ノーマル,ひこう,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-3.0,1.0,-1.0,-3.0,0.0,-3.0,-1.0,1.0,1.0,0.0,-3.0,-3.0,0.0,-3.0,-3.0,1.0,1.0,0.0,1.0,-3.0,-1.0,1.0,-3.0,0.0,0.0,1.0
21,ピジョン,63,60,55,50,50,71,ノーマル,ひこう,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-3.0,1.0,-1.0,-3.0,0.0,-3.0,-1.0,1.0,1.0,0.0,-3.0,-3.0,0.0,-3.0,-3.0,1.0,1.0,0.0,1.0,-3.0,-1.0,1.0,-3.0,0.0,0.0,1.0
22,ピジョット,83,80,75,70,70,101,ノーマル,ひこう,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-3.0,1.0,-1.0,-3.0,0.0,-3.0,-1.0,1.0,1.0,0.0,-3.0,-3.0,0.0,-3.0,-3.0,1.0,1.0,0.0,1.0,-3.0,-1.0,1.0,-3.0,0.0,0.0,1.0
23,メガピジョット,83,80,80,135,80,121,ノーマル,ひこう,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-3.0,1.0,-1.0,-3.0,0.0,-3.0,-1.0,1.0,1.0,0.0,-3.0,-3.0,0.0,-3.0,-3.0,1.0,1.0,0.0,1.0,-3.0,-1.0,1.0,-3.0,0.0,0.0,1.0
24,コラッタ,30,56,35,25,35,72,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
25,アローラコラッタ,30,56,35,25,35,72,あく,ノーマル,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-3.0,1.0,0.0,-3.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,-2.0,0.0,-3.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,2.0,-2.0,0.0,2.0,0.0,0.0,-3.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
26,ラッタ,55,81,60,50,70,97,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
27,アローララッタ,75,71,70,40,80,77,あく,ノーマル,0.0,-1.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,-3.0,1.0,0.0,-3.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,-2.0,0.0,-3.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,2.0,-2.0,-1.0,2.0,-1.0,-1.0,-3.0,-1.0,-2.0,-1.0,-2.0,0.0,0.0
28,オニスズメ,40,60,30,31,31,70,ノーマル,ひこう,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-3.0,1.0,-1.0,-3.0,0.0,-3.0,-1.0,1.0,1.0,0.0,-3.0,-3.0,0.0,-3.0,-3.0,1.0,1.0,0.0,1.0,-3.0,-1.0,1.0,-3.0,0.0,0.0,1.0
29,オニドリル,65,90,65,61,61,100,ノーマル,ひこう,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-3.0,1.0,-1.0,-3.0,0.0,-3.0,-1.0,1.0,1.0,0.0,-3.0,-3.0,0.0,-3.0,-3.0,1.0,1.0,0.0,1.0,-3.0,-1.0,1.0,-3.0,0.0,0.0,1.0
30,アーボ,35,60,44,40,54,55,どく,なし,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-2.0,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
31,アーボック,60,95,69,65,79,80,どく,なし,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-2.0,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
32,ピカチュウ,35,55,40,50,50,90,でんき,なし,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-4.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-3.0
33,ライチュウ,60,90,55,90,80,110,でんき,なし,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0
34,アローラライチュウ,60,85,50,95,85,110,でんき,エスパー,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-2.0,1.0,1.0,-2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,-1.0
35,サンド,50,75,85,20,30,40,じめん,なし,0.0,0.0,1.0,-3.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,-3.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-2.0
36,アローラサンド,50,75,90,10,35,40,こおり,はがね,-1.0,2.0,0.0,0.0,-1.0,-2.0,2.0,-3.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-2.0,-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-3.0,0.0,2.0,-2.0,0.0,3.0,-1.0,-2.0,2.0,-1.0,-3.0,0.0,-1.0,-2.0,1.0,2.0,0.0,0.0
37,サンドパン,75,100,110,45,55,65,じめん,なし,0.0,0.0,1.0,-3.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,-3.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-2.0
38,アローラサンドパン,75,100,120,25,65,65,こおり,はがね,-1.0,2.0,0.0,0.0,-1.0,-2.0,2.0,-3.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-2.0,-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-3.0,0.0,2.0,-2.0,0.0,3.0,-1.0,-2.0,2.0,-1.0,-3.0,0.0,-1.0,-2.0,1.0,2.0,0.0,0.0
39,ニドラン♀,55,47,52,40,40,41,どく,なし,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-2.0,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
40,ニドリーナ,70,62,67,55,55,56,どく,なし,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-2.0,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
41,ニドクイン,90,92,87,75,85,76,どく,じめん,0.0,0.0,1.0,-3.0,0.0,1.0,-1.0,-2.0,1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,-3.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-3.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,2.0,-4.0,-2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-2.0
42,ニドラン♂,46,57,40,40,40,50,どく,なし,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-2.0,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
43,ニドリーノ,61,72,57,55,55,65,どく,なし,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-2.0,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
44,ニドキング,81,102,77,85,75,85,どく,じめん,0.0,0.0,1.0,-3.0,0.0,1.0,-1.0,-2.0,1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,-3.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-3.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,2.0,-4.0,-2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-2.0
45,ピッピ,70,45,48,60,65,35,フェアリー,なし,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-3.0,-1.0,1.0,0.0,-3.0,0.0,0.0,-1.0,-3.0,1.0,-1.0,0.0,1.0,-3.0,-1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-3.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
46,ピクシー,95,70,73,95,90,60,フェアリー,なし,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-3.0,-1.0,1.0,0.0,-3.0,0.0,0.0,-1.0,-3.0,1.0,-1.0,0.0,1.0,-3.0,-1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-3.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
47,ロコン,38,41,40,50,65,65,ほのお,なし,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
48,アローラロコン,38,41,40,50,65,65,こおり,なし,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0
49,キュウコン,73,76,75,81,100,100,ほのお,なし,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
50,アローラキュウコン,73,67,75,81,100,109,こおり,フェアリー,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,-3.0,-1.0,2.0,0.0,-3.0,0.0,1.0,0.0,-3.0,2.0,0.0,0.0,2.0,-3.0,-1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,2.0,-4.0,2.0,-1.0,-2.0,-1.0,0.0,0.0,0.0
51,プリン,115,45,20,45,25,20,ノーマル,フェアリー,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-3.0,-3.0,-1.0,1.0,0.0,-3.0,0.0,0.0,0.0,-3.0,1.0,-1.0,-3.0,1.0,-6.0,-1.0,0.0,1.0,0.0,-3.0,1.0,0.0,0.0,-3.0,0.0,0.0,1.0,-3.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
52,プクリン,140,70,45,85,50,45,ノーマル,フェアリー,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-3.0,-3.0,-1.0,1.0,0.0,-3.0,0.0,0.0,0.0,-3.0,1.0,-1.0,-3.0,1.0,-6.0,-1.0,0.0,1.0,0.0,-3.0,1.0,0.0,0.0,-3.0,0.0,0.0,1.0,-3.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
53,ズバット,40,45,35,30,40,55,どく,ひこう,0.0,0.0,0.0,1.0,-2.0,1.0,-2.0,-1.0,-3.0,0.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-2.0,-4.0,-3.0,1.0,-2.0,-1.0,0.0,0.0,-2.0,1.0,0.0,0.0,-2.0,-4.0,0.0,-5.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,-2.0,1.0,-3.0,0.0,0.0,1.0
54,ゴルバット,75,80,70,65,75,90,どく,ひこう,0.0,0.0,0.0,1.0,-2.0,1.0,-2.0,-1.0,-3.0,0.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-2.0,-4.0,-3.0,1.0,-2.0,-1.0,0.0,0.0,-2.0,1.0,0.0,0.0,-2.0,-4.0,0.0,-5.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,-2.0,1.0,-3.0,0.0,0.0,1.0
55,ナゾノクサ,45,50,55,75,65,30,くさ,どく,0.0,1.0,-1.0,-1.0,-2.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-2.0,0.0,-3.0,0.0,-1.0,1.0,-1.0,1.0,0.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,1.0,1.0,0.0,-2.0,1.0,0.0,1.0,-1.0,-2.0
